date,trade_count,wins,losses,gross_pnl,net_pnl,avg_win,avg_loss,win_rate,max_single_loss,max_single_win,killswitch_triggered,day_result,cumulative_total_pnl
2020-01-02,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,-114.72
2020-01-03,5,1,4,303.6,303.6,418.32,-28.68,20.0,-28.68,418.32,0,WIN,188.88
2020-01-06,4,1,3,572.28,572.28,658.32,-28.68,25.0,-28.68,658.32,0,WIN,761.16
2020-01-07,5,1,4,390.6,390.6,505.32,-28.68,20.0,-28.68,505.32,0,WIN,1151.76
2020-01-08,4,1,3,785.28,785.28,871.32,-28.68,25.0,-28.68,871.32,0,WIN,1937.04
2020-01-09,4,1,3,131.28,131.28,217.32,-28.68,25.0,-28.68,217.32,0,WIN,2068.32
2020-01-10,5,1,4,222.6,222.6,337.32,-28.68,20.0,-28.68,337.32,0,WIN,2290.92
2020-01-13,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,2147.52
2020-01-14,4,1,3,224.28,224.28,310.32,-28.68,25.0,-28.68,310.32,0,WIN,2371.8
2020-01-15,4,1,3,203.28,203.28,289.32,-28.68,25.0,-28.68,289.32,0,WIN,2575.08
2020-01-16,5,1,4,66.6,66.6,181.32,-28.68,20.0,-28.68,181.32,0,WIN,2641.68
2020-01-17,4,1,3,-66.72,-66.72,19.32,-28.68,25.0,-28.68,19.32,0,LOSS,2574.96
2020-01-20,2,0,2,-57.36,-57.36,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,2517.6
2020-01-21,5,2,3,1086.6,1086.6,586.32,-28.68,40.0,-28.68,895.32,0,WIN,3604.2
2020-01-22,4,1,3,215.28,215.28,301.32,-28.68,25.0,-28.68,301.32,0,WIN,3819.48
2020-01-23,5,1,4,138.6,138.6,253.32,-28.68,20.0,-28.68,253.32,0,WIN,3958.08
2020-01-24,4,2,2,398.28,398.28,227.82,-28.68,50.0,-28.68,238.32,0,WIN,4356.36
2020-01-27,5,1,4,402.6,402.6,517.32,-28.68,20.0,-28.68,517.32,0,WIN,4758.96
2020-01-28,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,4615.56
