account,contracts,date,trade_num,entry_time,exit_time,direction,entry_px,exit_px,net_pnl,reason
25K,6,2020-01-02,1,2020-01-02 10:45:00-05:00,2020-01-02 11:30:00-05:00,LONG,8816.5,8816.0,-28.68,break_even
25K,6,2020-01-02,2,2020-01-02 12:45:00-05:00,2020-01-02 13:00:00-05:00,SHORT,8842.25,8842.75,-28.68,break_even
25K,6,2020-01-02,3,2020-01-02 14:15:00-05:00,2020-01-02 14:30:00-05:00,SHORT,8848.5,8849.0,-28.68,break_even
25K,6,2020-01-02,4,2020-01-02 15:45:00-05:00,2020-01-02 16:00:00-05:00,SHORT,8868.75,8869.25,-28.68,break_even
25K,6,2020-01-03,1,2020-01-03 09:45:00-05:00,2020-01-03 10:00:00-05:00,LONG,8838.0,8837.5,-28.68,break_even
25K,6,2020-01-03,2,2020-01-03 11:15:00-05:00,2020-01-03 12:30:00-05:00,LONG,8817.5,8854.25,418.32,max_hold
25K,6,2020-01-03,3,2020-01-03 12:45:00-05:00,2020-01-03 13:00:00-05:00,SHORT,8854.5,8855.0,-28.68,break_even
25K,6,2020-01-03,4,2020-01-03 14:15:00-05:00,2020-01-03 15:30:00-05:00,LONG,8824.5,8824.0,-28.68,break_even
25K,6,2020-01-03,5,2020-01-03 15:45:00-05:00,2020-01-03 16:00:00-05:00,LONG,8825.0,8824.5,-28.68,break_even
25K,6,2020-01-06,1,2020-01-06 09:45:00-05:00,2020-01-06 11:00:00-05:00,LONG,8774.75,8831.5,658.32,max_hold
25K,6,2020-01-06,2,2020-01-06 11:15:00-05:00,2020-01-06 11:30:00-05:00,SHORT,8831.75,8832.25,-28.68,break_even
25K,6,2020-01-06,3,2020-01-06 13:15:00-05:00,2020-01-06 13:30:00-05:00,SHORT,8832.5,8833.0,-28.68,break_even
25K,6,2020-01-06,4,2020-01-06 15:00:00-05:00,2020-01-06 15:15:00-05:00,SHORT,8839.5,8840.0,-28.68,break_even
25K,6,2020-01-07,1,2020-01-07 09:45:00-05:00,2020-01-07 10:30:00-05:00,LONG,8837.75,8852.25,151.32,stop_loss
25K,6,2020-01-07,2,2020-01-07 11:00:00-05:00,2020-01-07 11:15:00-05:00,SHORT,8875.25,8875.75,-28.68,break_even
25K,6,2020-01-07,3,2020-01-07 12:30:00-05:00,2020-01-07 12:45:00-05:00,SHORT,8876.0,8876.5,-28.68,break_even
25K,6,2020-01-07,4,2020-01-07 14:00:00-05:00,2020-01-07 15:15:00-05:00,SHORT,8883.75,8880.25,19.32,max_hold
25K,6,2020-01-07,5,2020-01-07 15:30:00-05:00,2020-01-08 09:30:00-05:00,SHORT,8879.0,8879.5,-28.68,break_even
25K,6,2020-01-08,1,2020-01-08 10:00:00-05:00,2020-01-08 10:15:00-05:00,SHORT,8890.0,8890.5,-28.68,break_even
25K,6,2020-01-08,2,2020-01-08 11:30:00-05:00,2020-01-08 11:45:00-05:00,SHORT,8897.0,8897.5,-28.68,break_even
25K,6,2020-01-08,3,2020-01-08 13:00:00-05:00,2020-01-08 13:15:00-05:00,SHORT,8939.5,8940.0,-28.68,break_even
25K,6,2020-01-08,4,2020-01-08 14:30:00-05:00,2020-01-08 14:45:00-05:00,SHORT,8941.25,8941.75,-28.68,break_even
25K,6,2020-01-08,5,2020-01-08 16:00:00-05:00,2020-01-09 10:15:00-05:00,LONG,8930.25,9004.75,871.32,max_hold
25K,6,2020-01-09,1,2020-01-09 10:30:00-05:00,2020-01-09 10:45:00-05:00,SHORT,9004.5,9005.0,-28.68,break_even
25K,6,2020-01-09,2,2020-01-09 12:00:00-05:00,2020-01-09 13:15:00-05:00,SHORT,9006.75,8986.75,217.32,max_hold
25K,6,2020-01-09,3,2020-01-09 14:30:00-05:00,2020-01-09 14:45:00-05:00,SHORT,8993.5,8994.0,-28.68,break_even
25K,6,2020-01-09,4,2020-01-09 16:00:00-05:00,2020-01-09 16:30:00-05:00,SHORT,9005.5,9006.0,-28.68,break_even
25K,6,2020-01-10,1,2020-01-10 09:45:00-05:00,2020-01-10 10:00:00-05:00,SHORT,9017.5,9018.0,-28.68,break_even
25K,6,2020-01-10,2,2020-01-10 11:15:00-05:00,2020-01-10 12:30:00-05:00,SHORT,9038.25,9008.25,337.32,max_hold
25K,6,2020-01-10,3,2020-01-10 12:45:00-05:00,2020-01-10 13:00:00-05:00,LONG,9008.75,9008.25,-28.68,break_even
25K,6,2020-01-10,4,2020-01-10 14:15:00-05:00,2020-01-10 14:30:00-05:00,LONG,9000.0,8999.5,-28.68,break_even
25K,6,2020-01-10,5,2020-01-10 15:45:00-05:00,2020-01-10 16:00:00-05:00,LONG,8976.0,8975.5,-28.68,break_even
25K,6,2020-01-13,1,2020-01-13 09:45:00-05:00,2020-01-13 10:00:00-05:00,SHORT,9022.25,9022.75,-28.68,break_even
25K,6,2020-01-13,2,2020-01-13 11:15:00-05:00,2020-01-13 11:30:00-05:00,SHORT,9034.75,9035.25,-28.68,break_even
25K,6,2020-01-13,3,2020-01-13 12:45:00-05:00,2020-01-13 13:00:00-05:00,SHORT,9060.5,9061.0,-28.68,break_even
25K,6,2020-01-13,4,2020-01-13 14:15:00-05:00,2020-01-13 14:30:00-05:00,SHORT,9069.5,9070.0,-28.68,break_even
25K,6,2020-01-13,5,2020-01-13 15:45:00-05:00,2020-01-13 16:00:00-05:00,SHORT,9072.75,9073.25,-28.68,break_even
25K,6,2020-01-14,1,2020-01-14 09:45:00-05:00,2020-01-14 10:00:00-05:00,LONG,9062.5,9062.0,-28.68,break_even
25K,6,2020-01-14,2,2020-01-14 12:00:00-05:00,2020-01-14 12:15:00-05:00,SHORT,9076.5,9077.0,-28.68,break_even
25K,6,2020-01-14,3,2020-01-14 13:30:00-05:00,2020-01-14 14:45:00-05:00,SHORT,9088.75,9061.0,310.32,max_hold
25K,6,2020-01-14,4,2020-01-14 15:15:00-05:00,2020-01-14 15:30:00-05:00,LONG,9048.5,9048.0,-28.68,break_even
25K,6,2020-01-15,1,2020-01-15 09:45:00-05:00,2020-01-15 10:00:00-05:00,SHORT,9067.25,9067.75,-28.68,break_even
25K,6,2020-01-15,2,2020-01-15 12:15:00-05:00,2020-01-15 13:30:00-05:00,SHORT,9086.5,9060.5,289.32,max_hold
25K,6,2020-01-15,3,2020-01-15 13:45:00-05:00,2020-01-15 14:00:00-05:00,LONG,9060.25,9059.75,-28.68,break_even
25K,6,2020-01-15,4,2020-01-15 15:15:00-05:00,2020-01-15 15:30:00-05:00,LONG,9053.75,9053.25,-28.68,break_even
25K,6,2020-01-16,1,2020-01-16 09:45:00-05:00,2020-01-16 10:00:00-05:00,SHORT,9112.25,9112.75,-28.68,break_even
25K,6,2020-01-16,2,2020-01-16 11:15:00-05:00,2020-01-16 11:30:00-05:00,LONG,9086.25,9085.75,-28.68,break_even
25K,6,2020-01-16,3,2020-01-16 13:15:00-05:00,2020-01-16 14:30:00-05:00,LONG,9090.0,9107.0,181.32,max_hold
25K,6,2020-01-16,4,2020-01-16 14:45:00-05:00,2020-01-16 15:00:00-05:00,SHORT,9107.25,9107.75,-28.68,break_even
25K,6,2020-01-16,5,2020-01-16 16:30:00-05:00,2020-01-17 09:30:00-05:00,SHORT,9132.75,9133.25,-28.68,break_even
25K,6,2020-01-17,1,2020-01-17 10:45:00-05:00,2020-01-17 12:00:00-05:00,SHORT,9155.75,9152.25,19.32,max_hold
25K,6,2020-01-17,2,2020-01-17 12:15:00-05:00,2020-01-17 12:30:00-05:00,SHORT,9151.75,9152.25,-28.68,break_even
25K,6,2020-01-17,3,2020-01-17 14:00:00-05:00,2020-01-17 14:15:00-05:00,SHORT,9159.25,9159.75,-28.68,break_even
25K,6,2020-01-17,4,2020-01-17 15:30:00-05:00,2020-01-17 15:45:00-05:00,SHORT,9160.5,9161.0,-28.68,break_even
25K,6,2020-01-20,1,2020-01-20 10:45:00-05:00,2020-01-20 11:00:00-05:00,LONG,9167.0,9166.5,-28.68,break_even
25K,6,2020-01-20,2,2020-01-20 12:15:00-05:00,2020-01-20 12:30:00-05:00,SHORT,9174.5,9175.0,-28.68,break_even
