account,contracts,date,trade_count,wins,losses,gross_pnl,net_pnl,avg_win,avg_loss,win_rate,max_single_loss,max_single_win,killswitch_triggered,day_result
25K,6,2020-01-02,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-01-03,5,1,4,417.0,303.6,418.32,-28.68,20.0,-28.68,418.32,0,WIN
25K,6,2020-01-06,4,1,3,663.0,572.28,658.32,-28.68,25.0,-28.68,658.32,0,WIN
25K,6,2020-01-07,5,2,3,198.0,84.6,85.32,-28.68,40.0,-28.68,151.32,0,WIN
25K,6,2020-01-08,5,1,4,870.0,756.6,871.32,-28.68,20.0,-28.68,871.32,0,WIN
25K,6,2020-01-09,4,1,3,222.0,131.28,217.32,-28.68,25.0,-28.68,217.32,0,WIN
25K,6,2020-01-10,5,1,4,336.0,222.6,337.32,-28.68,20.0,-28.68,337.32,0,WIN
25K,6,2020-01-13,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-01-14,4,1,3,315.0,224.28,310.32,-28.68,25.0,-28.68,310.32,0,WIN
25K,6,2020-01-15,4,1,3,294.0,203.28,289.32,-28.68,25.0,-28.68,289.32,0,WIN
25K,6,2020-01-16,5,1,4,180.0,66.6,181.32,-28.68,20.0,-28.68,181.32,0,WIN
25K,6,2020-01-17,4,1,3,24.0,-66.72,19.32,-28.68,25.0,-28.68,19.32,0,LOSS
25K,6,2020-01-20,2,0,2,-12.0,-57.36,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-01-21,5,2,3,1200.0,1086.6,586.32,-28.68,40.0,-28.68,895.32,0,WIN
25K,6,2020-01-22,4,1,3,306.0,215.28,301.32,-28.68,25.0,-28.68,301.32,0,WIN
25K,6,2020-01-23,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2020-01-24,5,2,3,417.0,303.6,194.82,-28.68,40.0,-28.68,238.32,0,WIN
25K,6,2020-01-27,4,1,3,522.0,431.28,517.32,-28.68,25.0,-28.68,517.32,0,WIN
25K,6,2020-01-28,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2020-01-29,5,1,4,234.0,120.6,235.32,-28.68,20.0,-28.68,235.32,0,WIN
25K,6,2020-01-30,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-01-31,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-03,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2020-02-04,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-05,4,1,3,336.0,245.28,331.32,-28.68,25.0,-28.68,331.32,0,WIN
25K,6,2020-02-06,5,2,3,291.0,177.6,131.82,-28.68,40.0,-28.68,199.32,0,WIN
25K,6,2020-02-07,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-10,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-11,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-12,5,1,4,156.0,42.6,157.32,-28.68,20.0,-28.68,157.32,0,WIN
25K,6,2020-02-13,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-14,4,1,3,321.0,230.28,316.32,-28.68,25.0,-28.68,316.32,0,WIN
25K,6,2020-02-17,3,1,2,633.0,564.96,622.32,-28.68,33.33,-28.68,622.32,0,WIN
25K,6,2020-02-18,3,0,3,-18.0,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-19,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-20,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2020-02-21,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2020-02-24,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-02-25,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-02-26,6,3,3,1884.0,1747.92,611.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2020-02-27,5,2,3,1770.0,1656.6,871.32,-28.68,40.0,-28.68,1171.32,0,WIN
25K,6,2020-02-28,1,0,1,-6.0,-28.68,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-03-02,6,2,4,1764.0,1627.92,871.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2020-03-03,6,2,4,1344.0,1207.92,661.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2020-03-04,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-03-05,6,2,4,504.0,367.92,241.32,-28.68,33.33,-28.68,331.32,0,WIN
25K,6,2020-03-06,4,1,3,156.0,65.28,151.32,-28.68,25.0,-28.68,151.32,0,WIN
25K,6,2020-03-09,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-03-10,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-03-11,6,3,3,1104.0,967.92,351.32,-28.68,50.0,-28.68,571.32,0,WIN
25K,6,2020-03-12,9,6,3,3006.0,2801.88,481.32,-28.68,66.67,-28.68,1171.32,0,WIN
25K,6,2020-03-13,5,2,3,690.0,576.6,331.32,-28.68,40.0,-28.68,331.32,0,WIN
25K,6,2020-03-16,6,3,3,1524.0,1387.92,491.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2020-03-17,5,2,3,930.0,816.6,451.32,-28.68,40.0,-28.68,571.32,0,WIN
25K,6,2020-03-18,7,5,2,4158.0,3999.24,811.32,-28.68,71.43,-28.68,1171.32,0,WIN
25K,6,2020-03-19,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-03-23,7,4,3,2718.0,2559.24,661.32,-28.68,57.14,-28.68,1171.32,0,WIN
25K,6,2020-03-24,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-03-25,5,3,2,2970.0,2856.6,971.32,-28.68,60.0,-28.68,1171.32,0,WIN
25K,6,2020-03-26,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-03-27,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2020-03-30,5,1,4,177.0,63.6,178.32,-28.68,20.0,-28.68,178.32,0,WIN
25K,6,2020-03-31,6,2,4,1524.0,1387.92,751.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2020-04-01,6,2,4,744.0,607.92,361.32,-28.68,33.33,-28.68,571.32,0,WIN
25K,6,2020-04-02,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-04-03,7,3,4,1698.0,1539.24,551.32,-28.68,42.86,-28.68,1171.32,0,WIN
25K,6,2020-04-06,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-07,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-08,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-09,4,2,2,1536.0,1445.28,751.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2020-04-13,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2020-04-14,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-15,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2020-04-16,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-17,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-20,6,2,4,324.0,187.92,151.32,-28.68,33.33,-28.68,151.32,0,WIN
25K,6,2020-04-21,6,3,3,1704.0,1567.92,551.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2020-04-22,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-23,6,4,2,2904.0,2767.92,706.32,-28.68,66.67,-28.68,1171.32,0,WIN
25K,6,2020-04-24,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2020-04-27,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-04-28,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-04-29,6,2,4,1344.0,1207.92,661.32,-28.68,33.33,-28.68,1171.32,0,WIN
25K,6,2020-04-30,5,2,3,510.0,396.6,241.32,-28.68,40.0,-28.68,331.32,0,WIN
25K,6,2020-05-01,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2020-05-04,6,2,4,744.0,607.92,361.32,-28.68,33.33,-28.68,571.32,0,WIN
25K,6,2020-05-05,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-05-06,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-05-07,5,1,4,213.0,99.6,214.32,-28.68,20.0,-28.68,214.32,0,WIN
25K,6,2020-05-08,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-05-11,5,1,4,330.0,216.6,331.32,-28.68,20.0,-28.68,331.32,0,WIN
25K,6,2020-05-12,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2020-05-13,7,3,4,1338.0,1179.24,431.32,-28.68,42.86,-28.68,571.32,0,WIN
25K,6,2020-05-14,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-05-15,5,1,4,150.0,36.6,151.32,-28.68,20.0,-28.68,151.32,0,WIN
25K,6,2020-05-18,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-05-19,5,1,4,1170.0,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN
25K,6,2020-05-20,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-05-21,5,2,3,1509.0,1395.6,740.82,-28.68,40.0,-28.68,1171.32,0,WIN
25K,6,2020-05-22,6,3,3,1704.0,1567.92,551.32,-28.68,50.0,-28.68,1171.32,0,WIN
25K,6,2020-05-25,3,0,3,-18.0,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-05-26,4,0,4,-24.0,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
25K,6,2020-05-27,5,1,4,570.0,456.6,571.32,-28.68,20.0,-28.68,571.32,0,WIN
25K,6,2020-05-28,5,0,5,-30.0,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS
