timestamp,strategy,account,action,side,contracts,signal_price,fill_price,slippage_pts,sl_price,tp_price,exit_reason,exit_price,pnl_per_contract,pnl_total,bars_held,daily_pnl,monthly_pnl
2018-01-02 16:00:00,MOM,BACKTEST,Entry,Buy,1,6520.75,6520.50,0.25,6505.50,6620.50,,,,,,,
2018-01-02 16:45:00,MOM,BACKTEST,Exit,Buy,1,6520.75,6520.50,0.25,6505.50,6620.50,EOD,6515.25,-10.50,-10.50,2,-10.50,-10.50
2018-01-03 09:45:00,MOM,BACKTEST,Entry,Buy,1,6546.00,6546.25,0.25,6531.25,6646.25,,,,,,,
2018-01-03 10:45:00,MOM,BACKTEST,Exit,Buy,1,6546.00,6546.25,0.25,6531.25,6646.25,MaxHold,6570.25,48.00,48.00,5,48.00,37.50
2018-01-03 14:15:00,MOM,BACKTEST,Entry,Buy,1,6579.00,6578.75,0.25,6563.75,6678.75,,,,,,,
2018-01-03 15:15:00,MOM,BACKTEST,Exit,Buy,1,6579.00,6578.75,0.25,6563.75,6678.75,MaxHold,6583.25,9.00,9.00,5,57.00,46.50
2018-01-04 10:00:00,MOM,BACKTEST,Entry,Buy,1,6598.50,6599.00,0.50,6584.00,6699.00,,,,,,,
2018-01-04 11:00:00,MOM,BACKTEST,Exit,Buy,1,6598.50,6599.00,0.50,6584.00,6699.00,MaxHold,6601.25,4.50,4.50,5,4.50,51.00
2018-01-04 16:30:00,MOM,BACKTEST,Entry,Buy,1,6604.00,6603.25,0.75,6588.25,6703.25,,,,,,,
2018-01-04 16:45:00,MOM,BACKTEST,Exit,Buy,1,6604.00,6603.25,0.75,6588.25,6703.25,EOD,6607.50,8.50,8.50,1,13.00,59.50
2018-01-05 10:00:00,MOM,BACKTEST,Entry,Buy,1,6623.75,6624.50,0.75,6609.50,6724.50,,,,,,,
2018-01-05 11:00:00,MOM,BACKTEST,Exit,Buy,1,6623.75,6624.50,0.75,6609.50,6724.50,MaxHold,6643.50,38.00,38.00,5,38.00,97.50
2018-01-05 16:00:00,MOM,BACKTEST,Entry,Buy,1,6660.75,6660.75,0.00,6645.75,6760.75,,,,,,,
2018-01-05 16:45:00,MOM,BACKTEST,Exit,Buy,1,6660.75,6660.75,0.00,6645.75,6760.75,EOD,6665.75,10.00,10.00,2,48.00,107.50
2018-01-08 09:45:00,MOM,BACKTEST,Entry,Buy,1,6668.50,6668.75,0.25,6653.75,6768.75,,,,,,,
2018-01-08 10:45:00,MOM,BACKTEST,Exit,Buy,1,6668.50,6668.75,0.25,6653.75,6768.75,MaxHold,6679.00,20.50,20.50,5,20.50,128.00
2018-01-08 15:45:00,MOM,BACKTEST,Entry,Buy,1,6686.25,6686.25,0.00,6671.25,6786.25,,,,,,,
2018-01-08 16:45:00,MOM,BACKTEST,Exit,Buy,1,6686.25,6686.25,0.00,6671.25,6786.25,EOD,6688.75,5.00,5.00,3,25.50,133.00
2018-01-09 09:45:00,MOM,BACKTEST,Entry,Sell,1,6678.00,6678.25,0.25,6693.25,6578.25,,,,,,,
2018-01-09 10:45:00,MOM,BACKTEST,Exit,Sell,1,6678.00,6678.25,0.25,6693.25,6578.25,MaxHold,6683.00,-9.50,-9.50,5,-9.50,123.50
2018-01-09 11:15:00,MOM,BACKTEST,Entry,Buy,1,6694.00,6694.25,0.25,6679.25,6794.25,,,,,,,
2018-01-09 12:15:00,MOM,BACKTEST,Exit,Buy,1,6694.00,6694.25,0.25,6679.25,6794.25,MaxHold,6693.75,-1.00,-1.00,5,-10.50,122.50
2018-01-09 15:45:00,MOM,BACKTEST,Entry,Buy,1,6696.00,6696.00,0.00,6681.00,6796.00,,,,,,,
2018-01-09 16:43:00,MOM,BACKTEST,Exit,Buy,1,6696.00,6696.00,0.00,6681.00,6796.00,SL,6681.00,-30.00,-30.00,2,-40.50,92.50
2018-01-10 10:00:00,MOM,BACKTEST,Entry,Sell,1,6644.00,6644.25,0.25,6659.25,6544.25,,,,,,,
2018-01-10 11:02:00,MOM,BACKTEST,Exit,Sell,1,6644.00,6644.25,0.25,6659.25,6544.25,SL,6659.25,-30.00,-30.00,4,-30.00,62.50
2018-01-11 09:45:00,MOM,BACKTEST,Entry,Buy,1,6688.00,6688.00,0.00,6673.00,6788.00,,,,,,,
2018-01-11 10:35:00,MOM,BACKTEST,Exit,Buy,1,6688.00,6688.00,0.00,6673.00,6788.00,SL,6673.00,-30.00,-30.00,3,-30.00,32.50
2018-01-11 12:45:00,MOM,BACKTEST,Entry,Buy,1,6704.75,6704.75,0.00,6689.75,6804.75,,,,,,,
2018-01-11 13:45:00,MOM,BACKTEST,Exit,Buy,1,6704.75,6704.75,0.00,6689.75,6804.75,MaxHold,6705.25,1.00,1.00,5,-29.00,33.50
2018-01-11 16:00:00,MOM,BACKTEST,Entry,Buy,1,6717.00,6716.75,0.25,6701.75,6816.75,,,,,,,
2018-01-11 16:45:00,MOM,BACKTEST,Exit,Buy,1,6717.00,6716.75,0.25,6701.75,6816.75,EOD,6725.75,18.00,18.00,2,-11.00,51.50
2018-01-12 09:45:00,MOM,BACKTEST,Entry,Buy,1,6726.50,6726.50,0.00,6711.50,6826.50,,,,,,,
2018-01-12 10:45:00,MOM,BACKTEST,Exit,Buy,1,6726.50,6726.50,0.00,6711.50,6826.50,MaxHold,6754.75,56.50,56.50,5,56.50,108.00
2018-01-12 16:00:00,MOM,BACKTEST,Entry,Buy,1,6765.50,6765.50,0.00,6750.50,6865.50,,,,,,,
2018-01-12 16:45:00,MOM,BACKTEST,Exit,Buy,1,6765.50,6765.50,0.00,6750.50,6865.50,EOD,6774.25,17.50,17.50,2,74.00,125.50
2018-01-16 09:45:00,MOM,BACKTEST,Entry,Buy,1,6837.00,6837.25,0.25,6822.25,6937.25,,,,,,,
2018-01-16 10:32:00,MOM,BACKTEST,Exit,Buy,1,6837.00,6837.25,0.25,6822.25,6937.25,SL,6822.25,-30.00,-30.00,3,-30.00,95.50
2018-01-16 11:15:00,MOM,BACKTEST,Entry,Sell,1,6794.75,6795.25,0.50,6810.25,6695.25,,,,,,,
2018-01-16 11:31:00,MOM,BACKTEST,Exit,Sell,1,6794.75,6795.25,0.50,6810.25,6695.25,SL,6810.25,-30.00,-30.00,1,-60.00,65.50
2018-01-16 11:45:00,MOM,BACKTEST,Entry,Sell,1,6798.00,6798.00,0.00,6813.00,6698.00,,,,,,,
2018-01-16 12:45:00,MOM,BACKTEST,Exit,Sell,1,6798.00,6798.00,0.00,6813.00,6698.00,MaxHold,6782.25,31.50,31.50,5,-28.50,97.00
2018-01-16 14:00:00,MOM,BACKTEST,Entry,Sell,1,6766.25,6766.50,0.25,6781.50,6666.50,,,,,,,
2018-01-16 15:00:00,MOM,BACKTEST,Exit,Sell,1,6766.25,6766.50,0.25,6781.50,6666.50,MaxHold,6758.75,15.50,15.50,5,-13.00,112.50
2018-01-16 16:00:00,MOM,BACKTEST,Entry,Sell,1,6748.25,6748.25,0.00,6763.25,6648.25,,,,,,,
2018-01-16 16:14:00,MOM,BACKTEST,Exit,Sell,1,6748.25,6748.25,0.00,6763.25,6648.25,SL,6763.25,-30.00,-30.00,0,-43.00,82.50
2018-01-17 09:45:00,MOM,BACKTEST,Entry,Sell,1,6763.25,6763.00,0.25,6778.00,6663.00,,,,,,,
2018-01-17 10:16:00,MOM,BACKTEST,Exit,Sell,1,6763.25,6763.00,0.25,6778.00,6663.00,SL,6778.00,-30.00,-30.00,2,-30.00,52.50
2018-01-17 10:30:00,MOM,BACKTEST,Entry,Sell,1,6761.00,6760.75,0.25,6775.75,6660.75,,,,,,,
2018-01-17 10:58:00,MOM,BACKTEST,Exit,Sell,1,6761.00,6760.75,0.25,6775.75,6660.75,SL,6775.75,-30.00,-30.00,1,-60.00,22.50
2018-01-18 09:45:00,MOM,BACKTEST,Entry,Buy,1,6813.75,6813.75,0.00,6798.75,6913.75,,,,,,,
2018-01-18 10:10:00,MOM,BACKTEST,Exit,Buy,1,6813.75,6813.75,0.00,6798.75,6913.75,SL,6798.75,-30.00,-30.00,1,-30.00,-7.50
2018-01-18 10:15:00,MOM,BACKTEST,Entry,Sell,1,6797.50,6797.50,0.00,6812.50,6697.50,,,,,,,
2018-01-18 10:30:00,MOM,BACKTEST,Exit,Sell,1,6797.50,6797.50,0.00,6812.50,6697.50,SL,6812.50,-30.00,-30.00,1,-60.00,-37.50
2018-01-18 15:45:00,MOM,BACKTEST,Entry,Sell,1,6822.50,6822.25,0.25,6837.25,6722.25,,,,,,,
2018-01-18 16:45:00,MOM,BACKTEST,Exit,Sell,1,6822.50,6822.25,0.25,6837.25,6722.25,EOD,6812.00,20.50,20.50,3,-39.50,-17.00
2018-01-19 09:45:00,MOM,BACKTEST,Entry,Buy,1,6850.25,6850.25,0.00,6835.25,6950.25,,,,,,,
2018-01-19 09:53:00,MOM,BACKTEST,Exit,Buy,1,6850.25,6850.25,0.00,6835.25,6950.25,SL,6835.25,-30.00,-30.00,0,-30.00,-47.00
2018-01-19 10:30:00,MOM,BACKTEST,Entry,Buy,1,6831.75,6831.75,0.00,6816.75,6931.75,,,,,,,
2018-01-19 10:52:00,MOM,BACKTEST,Exit,Buy,1,6831.75,6831.75,0.00,6816.75,6931.75,SL,6816.75,-30.00,-30.00,1,-60.00,-77.00
2018-01-19 11:00:00,MOM,BACKTEST,Entry,Sell,1,6818.50,6818.50,0.00,6833.50,6718.50,,,,,,,
2018-01-19 11:43:00,MOM,BACKTEST,Exit,Sell,1,6818.50,6818.50,0.00,6833.50,6718.50,SL,6833.50,-30.00,-30.00,2,-90.00,-107.00
2018-01-19 16:00:00,MOM,BACKTEST,Entry,Buy,1,6845.25,6845.00,0.25,6830.00,6945.00,,,,,,,
2018-01-19 16:45:00,MOM,BACKTEST,Exit,Buy,1,6845.25,6845.00,0.25,6830.00,6945.00,EOD,6850.25,10.50,10.50,2,-79.50,-96.50
2018-01-22 09:45:00,MOM,BACKTEST,Entry,Buy,1,6847.75,6848.00,0.25,6833.00,6948.00,,,,,,,
2018-01-22 10:45:00,MOM,BACKTEST,Exit,Buy,1,6847.75,6848.00,0.25,6833.00,6948.00,MaxHold,6877.50,59.00,59.00,5,59.00,-37.50
2018-01-22 16:00:00,MOM,BACKTEST,Entry,Buy,1,6917.75,6918.00,0.25,6903.00,7018.00,,,,,,,
2018-01-22 16:45:00,MOM,BACKTEST,Exit,Buy,1,6917.75,6918.00,0.25,6903.00,7018.00,EOD,6941.00,46.00,46.00,2,105.00,8.50
2018-01-23 09:45:00,MOM,BACKTEST,Entry,Buy,1,6951.25,6951.00,0.25,6936.00,7051.00,,,,,,,
2018-01-23 10:45:00,MOM,BACKTEST,Exit,Buy,1,6951.25,6951.00,0.25,6936.00,7051.00,MaxHold,6973.00,44.00,44.00,5,44.00,52.50
2018-01-24 10:00:00,MOM,BACKTEST,Entry,Buy,1,6982.75,6983.00,0.25,6968.00,7083.00,,,,,,,
2018-01-24 11:13:00,MOM,BACKTEST,Exit,Buy,1,6982.75,6983.00,0.25,6968.00,7083.00,SL,6968.00,-30.00,-30.00,4,-30.00,22.50
2018-01-24 11:15:00,MOM,BACKTEST,Entry,Sell,1,6951.25,6951.25,0.00,6966.25,6851.25,,,,,,,
2018-01-24 12:15:00,MOM,BACKTEST,Exit,Sell,1,6951.25,6951.25,0.00,6966.25,6851.25,MaxHold,6929.50,43.50,43.50,5,13.50,66.00
2018-01-24 12:45:00,MOM,BACKTEST,Entry,Sell,1,6919.00,6918.75,0.25,6933.75,6818.75,,,,,,,
2018-01-24 13:44:00,MOM,BACKTEST,Exit,Sell,1,6919.00,6918.75,0.25,6933.75,6818.75,SL,6933.75,-30.00,-30.00,3,-16.50,36.00
2018-01-25 10:00:00,MOM,BACKTEST,Entry,Sell,1,6924.75,6924.75,0.00,6939.75,6824.75,,,,,,,
2018-01-25 10:05:00,MOM,BACKTEST,Exit,Sell,1,6924.75,6924.75,0.00,6939.75,6824.75,SL,6939.75,-30.00,-30.00,0,-30.00,6.00
2018-01-25 15:00:00,MOM,BACKTEST,Entry,Sell,1,6915.50,6915.75,0.25,6930.75,6815.75,,,,,,,
2018-01-25 16:03:00,MOM,BACKTEST,Exit,Sell,1,6915.50,6915.75,0.25,6930.75,6815.75,SL,6930.75,-30.00,-30.00,4,-60.00,-24.00
2018-01-26 10:00:00,MOM,BACKTEST,Entry,Buy,1,6964.75,6964.75,0.00,6949.75,7064.75,,,,,,,
2018-01-26 11:00:00,MOM,BACKTEST,Exit,Buy,1,6964.75,6964.75,0.00,6949.75,7064.75,MaxHold,6980.25,31.00,31.00,5,31.00,7.00
2018-01-26 15:15:00,MOM,BACKTEST,Entry,Buy,1,7012.25,7012.25,0.00,6997.25,7112.25,,,,,,,
2018-01-26 16:30:00,MOM,BACKTEST,Exit,Buy,1,7012.25,7012.25,0.00,6997.25,7112.25,MaxHold,7029.50,34.50,34.50,5,65.50,41.50
2018-01-29 09:45:00,MOM,BACKTEST,Entry,Buy,1,7017.50,7017.25,0.25,7002.25,7117.25,,,,,,,
2018-01-29 10:03:00,MOM,BACKTEST,Exit,Buy,1,7017.50,7017.25,0.25,7002.25,7117.25,SL,7002.25,-30.00,-30.00,1,-30.00,11.50
2018-01-29 10:30:00,MOM,BACKTEST,Entry,Buy,1,7010.50,7010.75,0.25,6995.75,7110.75,,,,,,,
2018-01-29 10:37:00,MOM,BACKTEST,Exit,Buy,1,7010.50,7010.75,0.25,6995.75,7110.75,SL,6995.75,-30.00,-30.00,0,-60.00,-18.50
2018-01-29 10:45:00,MOM,BACKTEST,Entry,Sell,1,6986.00,6986.25,0.25,7001.25,6886.25,,,,,,,
2018-01-29 11:22:00,MOM,BACKTEST,Exit,Sell,1,6986.00,6986.25,0.25,7001.25,6886.25,SL,7001.25,-30.00,-30.00,2,-90.00,-48.50
2018-01-29 11:30:00,MOM,BACKTEST,Entry,Buy,1,7001.00,7001.00,0.00,6986.00,7101.00,,,,,,,
2018-01-29 12:30:00,MOM,BACKTEST,Exit,Buy,1,7001.00,7001.00,0.00,6986.00,7101.00,MaxHold,7005.50,9.00,9.00,5,-81.00,-39.50
2018-01-29 15:45:00,MOM,BACKTEST,Entry,Sell,1,6989.50,6989.75,0.25,7004.75,6889.75,,,,,,,
2018-01-29 15:54:00,MOM,BACKTEST,Exit,Sell,1,6989.50,6989.75,0.25,7004.75,6889.75,SL,7004.75,-30.00,-30.00,0,-111.00,-69.50
2018-01-30 10:00:00,MOM,BACKTEST,Entry,Sell,1,6919.00,6919.25,0.25,6934.25,6819.25,,,,,,,
2018-01-30 10:27:00,MOM,BACKTEST,Exit,Sell,1,6919.00,6919.25,0.25,6934.25,6819.25,SL,6934.25,-30.00,-30.00,1,-30.00,-99.50
2018-01-31 14:30:00,MOM,BACKTEST,Entry,Sell,1,6953.00,6953.25,0.25,6968.25,6853.25,,,,,,,
