date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,contracts,pnl,cumulative_daily_pnl,cumulative_total_pnl
2020-01-02,1,LONG,2020-01-02 10:45:00-05:00,2020-01-02 11:30:00-05:00,8816.5,8816.0,break_even,5,-23.9,-23.9,-23.9
2020-01-02,2,SHORT,2020-01-02 12:45:00-05:00,2020-01-02 13:00:00-05:00,8842.25,8842.75,break_even,5,-23.9,-47.8,-47.8
2020-01-02,3,SHORT,2020-01-02 14:15:00-05:00,2020-01-02 14:30:00-05:00,8848.5,8849.0,break_even,5,-23.9,-71.7,-71.7
2020-01-02,4,SHORT,2020-01-02 15:45:00-05:00,2020-01-02 16:00:00-05:00,8868.75,8869.25,break_even,5,-23.9,-95.6,-95.6
2020-01-02,DAILY_SUMMARY,-,-,-,-,-,-,trades=4,-95.6,-,-95.6
2020-01-03,1,LONG,2020-01-03 09:45:00-05:00,2020-01-03 10:00:00-05:00,8838.0,8837.5,break_even,5,-23.9,-23.9,-119.5
2020-01-03,2,LONG,2020-01-03 11:15:00-05:00,2020-01-03 12:30:00-05:00,8817.5,8854.25,max_hold,5,348.6,324.7,229.1
2020-01-03,3,SHORT,2020-01-03 12:45:00-05:00,2020-01-03 13:00:00-05:00,8854.5,8855.0,break_even,5,-23.9,300.8,205.2
2020-01-03,4,LONG,2020-01-03 14:15:00-05:00,2020-01-03 15:30:00-05:00,8824.5,8824.0,break_even,5,-23.9,276.9,181.3
2020-01-03,5,LONG,2020-01-03 15:45:00-05:00,2020-01-03 16:00:00-05:00,8825.0,8824.5,break_even,5,-23.9,253.0,157.4
2020-01-03,DAILY_SUMMARY,-,-,-,-,-,-,trades=5,253.0,-,157.4
2020-01-06,1,LONG,2020-01-06 09:45:00-05:00,2020-01-06 11:00:00-05:00,8774.75,8831.5,max_hold,5,548.6,548.6,706.0
2020-01-06,2,SHORT,2020-01-06 11:15:00-05:00,2020-01-06 11:30:00-05:00,8831.75,8832.25,break_even,5,-23.9,524.7,682.1
2020-01-06,3,SHORT,2020-01-06 13:15:00-05:00,2020-01-06 13:30:00-05:00,8832.5,8833.0,break_even,5,-23.9,500.8,658.2
2020-01-06,4,SHORT,2020-01-06 15:00:00-05:00,2020-01-06 15:15:00-05:00,8839.5,8840.0,break_even,5,-23.9,476.9,634.3
2020-01-06,DAILY_SUMMARY,-,-,-,-,-,-,trades=4,476.9,-,634.3
2020-01-07,1,LONG,2020-01-07 09:45:00-05:00,2020-01-07 10:30:00-05:00,8837.75,8852.25,stop_loss,5,126.1,126.1,760.4
2020-01-07,2,SHORT,2020-01-07 11:00:00-05:00,2020-01-07 11:15:00-05:00,8875.25,8875.75,break_even,5,-23.9,102.2,736.5
2020-01-07,3,SHORT,2020-01-07 12:30:00-05:00,2020-01-07 12:45:00-05:00,8876.0,8876.5,break_even,5,-23.9,78.3,712.6
2020-01-07,4,SHORT,2020-01-07 14:00:00-05:00,2020-01-07 15:15:00-05:00,8883.75,8880.25,max_hold,5,16.1,94.4,728.7
2020-01-07,5,SHORT,2020-01-07 15:30:00-05:00,2020-01-08 09:30:00-05:00,8879.0,8879.5,break_even,5,-23.9,70.5,704.8
2020-01-07,DAILY_SUMMARY,-,-,-,-,-,-,trades=5,70.5,-,704.8
2020-01-08,1,SHORT,2020-01-08 10:00:00-05:00,2020-01-08 10:15:00-05:00,8890.0,8890.5,break_even,5,-23.9,-23.9,680.9
2020-01-08,2,SHORT,2020-01-08 11:30:00-05:00,2020-01-08 11:45:00-05:00,8897.0,8897.5,break_even,5,-23.9,-47.8,657.0
2020-01-08,3,SHORT,2020-01-08 13:00:00-05:00,2020-01-08 13:15:00-05:00,8939.5,8940.0,break_even,5,-23.9,-71.7,633.1
2020-01-08,4,SHORT,2020-01-08 14:30:00-05:00,2020-01-08 14:45:00-05:00,8941.25,8941.75,break_even,5,-23.9,-95.6,609.2
2020-01-08,5,LONG,2020-01-08 16:00:00-05:00,2020-01-09 10:15:00-05:00,8930.25,9004.75,max_hold,5,726.1,630.5,1335.3
2020-01-08,DAILY_SUMMARY,-,-,-,-,-,-,trades=5,630.5,-,1335.3
