candidate,account,contracts,total_pnl,monthly_avg,max_drawdown,worst_day,trade_count,killswitch_triggers,win_rate,profit_factor,oos_pnl_2024plus,train_pnl_2020_2023,slippage_plus1tick_side,slippage_plus2ticks_side
strict_baseline,25k,6,-367006.8,-4829.04,-378361.68,-2013.6,17085,892,8.95,0.7578,-45865.2,-321141.6,-469516.8,-572026.8
strict_baseline,150k,20,-1539689.2,-20259.07,-1576472.0,-7303.2,20107,681,8.81,0.7391,-256647.2,-1283042.0,-1941829.2,-2343969.2
long_open_only,25k,6,3945.12,51.91,-13382.4,-148.68,641,0,11.08,1.0582,8054.52,-4109.4,99.12,-3746.88
long_open_only,150k,20,13150.4,173.03,-44608.0,-495.6,641,0,11.08,1.0582,26848.4,-13698.0,330.4,-12489.6
long_1145_only,25k,6,7294.44,95.98,-6739.08,-148.68,492,0,12.4,1.1732,3758.64,3535.8,4342.44,1390.44
long_1145_only,150k,20,24314.8,319.93,-22463.6,-495.6,492,0,12.4,1.1732,12528.8,11786.0,14474.8,4634.8
long_open_1145,25k,6,11239.56,147.89,-13704.84,-297.36,1133,0,11.65,1.1022,11813.16,-573.6,4441.56,-2356.44
long_open_1145,150k,20,37465.2,492.96,-45682.8,-991.2,1133,0,11.65,1.1022,39377.2,-1912.0,14805.2,-7854.8
long_combo,25k,6,-42330.24,-556.98,-70238.4,-892.08,3018,119,9.31,0.8681,20888.16,-63218.4,-60438.24,-78546.24
long_combo,150k,20,-157951.2,-2078.31,-246032.4,-3564.8,3127,37,9.21,0.8574,63003.2,-220954.4,-220491.2,-283031.2
long_combo_no_tue_wed,25k,6,-9317.28,-122.6,-36419.4,-892.08,1771,73,9.88,0.9504,22170.0,-31487.28,-19943.28,-30569.28
long_combo_no_tue_wed,150k,20,-34925.2,-459.54,-119615.2,-3564.8,1842,26,9.83,0.9464,71414.4,-106339.6,-71765.2,-108605.2
